epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1313.11,1.2729,2.17984,1.09883,0.80913,0.86508,0.91879,0.57114,1.18016,1.55945,1.07738,0.000554504,0.000554504,0.000554504
2,2671.76,1.18971,1.17656,1.06839,0.86738,0.94652,0.95491,0.59796,1.133,1.04803,1.09547,0.00108819,0.00108819,0.00108819
3,4014.67,1.20937,0.94751,1.07263,0.73921,0.86362,0.889,0.59839,1.12,0.86058,1.07811,0.00159987,0.00159987,0.00159987
4,5354.62,1.15665,0.88804,1.05582,0.92718,0.92989,0.96776,0.64047,1.0757,0.75249,1.06734,0.00156798,0.00156798,0.00156798
5,6673.53,1.15163,0.80554,1.05643,0.95581,0.94278,0.97007,0.66175,1.07017,0.69281,1.05189,0.00153497,0.00153497,0.00153497
6,7988.3,1.09926,0.75639,1.02752,0.96488,0.97943,0.99084,0.6959,1.07638,0.60684,1.07517,0.00150197,0.00150197,0.00150197
7,9295.29,1.09257,0.71822,1.03006,0.97251,0.97316,0.98619,0.71189,1.00535,0.56214,1.01398,0.00146896,0.00146896,0.00146896
8,10611.5,1.07522,0.70055,1.01948,0.95441,0.9831,0.98825,0.70015,1.00213,0.55576,1.00485,0.00143595,0.00143595,0.00143595
9,11929.9,1.05658,0.66992,1.00889,0.97319,0.98723,0.98948,0.72081,0.96858,0.53072,0.98069,0.00140295,0.00140295,0.00140295
10,13256.3,1.02066,0.64507,0.99838,0.96856,0.98587,0.98901,0.71705,0.99527,0.56028,1.01156,0.00136994,0.00136994,0.00136994
11,14590.7,1.02405,0.65494,1.00287,0.95164,0.98137,0.99035,0.72994,0.96314,0.52912,0.9809,0.00133693,0.00133693,0.00133693
12,15932.4,1.01849,0.63266,0.99724,0.97499,0.99136,0.99098,0.73884,0.96931,0.51023,1.00617,0.00130393,0.00130393,0.00130393
13,17271.9,1.00593,0.61768,0.99314,0.97834,0.99229,0.99301,0.7269,0.98242,0.49853,0.98824,0.00127092,0.00127092,0.00127092
14,18611.2,0.98848,0.59745,0.98209,0.98348,0.98625,0.99361,0.74509,0.93815,0.4862,0.96931,0.00123791,0.00123791,0.00123791
15,19949,0.97654,0.59622,0.98134,0.97826,0.99382,0.99153,0.7419,0.94795,0.50347,0.9743,0.00120491,0.00120491,0.00120491
16,21293.8,0.977,0.58089,0.97649,0.97251,0.98554,0.98919,0.74667,0.93199,0.47542,0.9654,0.0011719,0.0011719,0.0011719
17,22649.4,0.9723,0.57289,0.97323,0.98321,0.98817,0.99356,0.75496,0.92202,0.47498,0.97315,0.00113889,0.00113889,0.00113889
18,24006.5,0.97211,0.57371,0.97836,0.98359,0.98399,0.99347,0.74162,0.96356,0.47934,0.99761,0.00110589,0.00110589,0.00110589
19,25359.8,0.95399,0.55479,0.96865,0.98087,0.99762,0.99356,0.75071,0.93061,0.45673,0.98,0.00107288,0.00107288,0.00107288
20,26723.3,0.94966,0.54823,0.96371,0.98637,0.98851,0.99262,0.76526,0.92506,0.44249,0.97443,0.00103987,0.00103987,0.00103987
21,28086.8,0.9452,0.54561,0.96107,0.981,0.9946,0.99105,0.75148,0.91891,0.44768,0.96274,0.00100687,0.00100687,0.00100687
22,29463.3,0.94592,0.53679,0.96336,0.98601,0.99028,0.99407,0.76943,0.91427,0.44403,0.96079,0.000973861,0.000973861,0.000973861
23,30836.4,0.93257,0.53331,0.96134,0.98527,0.99136,0.99226,0.76448,0.90321,0.43142,0.95973,0.000940855,0.000940855,0.000940855
24,32190.7,0.92756,0.51741,0.9577,0.98597,0.99528,0.99143,0.7602,0.90837,0.4386,0.96539,0.000907848,0.000907848,0.000907848
25,33574.7,0.90302,0.52501,0.95089,0.97345,0.99244,0.99198,0.74475,0.95013,0.44547,0.97713,0.000874842,0.000874842,0.000874842
26,34961,0.90553,0.51576,0.94775,0.98771,0.99244,0.99305,0.76411,0.9102,0.42575,0.97105,0.000841835,0.000841835,0.000841835
27,36341.7,0.91653,0.51146,0.95242,0.98025,0.99568,0.98911,0.75901,0.90605,0.42275,0.96069,0.000808828,0.000808828,0.000808828
28,37731.4,0.89383,0.49483,0.94729,0.98795,0.99568,0.99187,0.76604,0.89257,0.40674,0.95258,0.000775822,0.000775822,0.000775822
29,39123,0.91122,0.49218,0.95158,0.98566,0.99433,0.99286,0.75624,0.91211,0.42588,0.97165,0.000742815,0.000742815,0.000742815
30,40517.9,0.90382,0.49108,0.9506,0.98764,0.9946,0.99137,0.77414,0.87264,0.40476,0.9473,0.000709809,0.000709809,0.000709809
31,41915.1,0.89023,0.48956,0.94337,0.98112,0.99752,0.99217,0.77353,0.89357,0.41081,0.94296,0.000676802,0.000676802,0.000676802
32,43316.4,0.87974,0.47833,0.94319,0.98095,0.99419,0.99233,0.78022,0.8837,0.4,0.94786,0.000643795,0.000643795,0.000643795
33,44716.6,0.87355,0.47326,0.94411,0.9888,0.99396,0.9928,0.77648,0.90341,0.40498,0.96459,0.000610789,0.000610789,0.000610789
34,46131,0.86908,0.46734,0.93987,0.98696,0.9946,0.99077,0.78026,0.86541,0.40093,0.94578,0.000577782,0.000577782,0.000577782
35,47545.3,0.86274,0.45616,0.93786,0.98554,0.9946,0.99125,0.78837,0.87792,0.38961,0.9457,0.000544776,0.000544776,0.000544776
36,48954.8,0.84594,0.45141,0.92709,0.98782,0.99028,0.99127,0.78256,0.86643,0.39455,0.94578,0.000511769,0.000511769,0.000511769
37,50368.1,0.86139,0.45094,0.93357,0.9929,0.99542,0.99211,0.78878,0.85784,0.37281,0.94103,0.000478762,0.000478762,0.000478762
38,51787.5,0.84294,0.44098,0.92676,0.98642,0.99165,0.99259,0.78291,0.87525,0.39054,0.95013,0.000445756,0.000445756,0.000445756
39,53203.6,0.84083,0.43893,0.9294,0.98828,0.99352,0.99238,0.78461,0.86761,0.38294,0.95539,0.000412749,0.000412749,0.000412749
40,54619.6,0.82569,0.43253,0.9267,0.98947,0.99196,0.99297,0.79354,0.85896,0.37317,0.94216,0.000379743,0.000379743,0.000379743
41,56029.1,0.79445,0.38293,0.91185,0.9883,0.99174,0.99249,0.79274,0.8609,0.373,0.94297,0.000346736,0.000346736,0.000346736
42,57436.7,0.78684,0.37454,0.90892,0.99141,0.9947,0.99261,0.79863,0.84681,0.37251,0.93959,0.000313729,0.000313729,0.000313729
43,58837.4,0.77493,0.36746,0.90299,0.99133,0.9899,0.99315,0.79416,0.85728,0.36475,0.94731,0.000280723,0.000280723,0.000280723
44,60236.5,0.77568,0.36603,0.90745,0.98541,0.99676,0.99291,0.79204,0.8391,0.36603,0.92948,0.000247716,0.000247716,0.000247716
45,61642.7,0.76362,0.3569,0.89788,0.99289,0.99028,0.99313,0.80264,0.84396,0.3585,0.9307,0.00021471,0.00021471,0.00021471
46,63043.7,0.75737,0.35289,0.89988,0.98991,0.99601,0.99304,0.80027,0.848,0.35667,0.92459,0.000181703,0.000181703,0.000181703
47,64443.5,0.75158,0.34761,0.89044,0.98949,0.98978,0.99399,0.81292,0.83671,0.35507,0.92347,0.000148696,0.000148696,0.000148696
48,65844.9,0.74688,0.3433,0.89268,0.99092,0.99619,0.99326,0.80835,0.83603,0.34504,0.92149,0.00011569,0.00011569,0.00011569
49,67980.7,0.73859,0.33754,0.88957,0.99219,0.99135,0.9937,0.80705,0.83039,0.34658,0.91887,8.26832e-05,8.26832e-05,8.26832e-05
50,69727.8,0.73276,0.33435,0.88335,0.99105,0.99499,0.99377,0.80596,0.83336,0.34714,0.92289,4.96766e-05,4.96766e-05,4.96766e-05
